cv_kind,feature_set,target,n_rows,n_groups,n_features_raw,model,mae_mean,test_r2_mean
grouped,D_surface_assisted_composition_T_time,reversible_capacity_mah_g,219,45,7,Gradient Boosting,146.65301301903833,0.38891573462130535
grouped,C_surface_assisted_composition_T,reversible_capacity_mah_g,219,45,6,Gradient Boosting,147.31136536366196,0.3887356844663655
grouped,A_composition_T,reversible_capacity_mah_g,219,45,5,Gradient Boosting,148.00015345059603,0.36067394821714127
grouped,B_composition_T_time,reversible_capacity_mah_g,219,45,6,Gradient Boosting,149.44746767711564,0.361548335628081
shuffled,C_surface_assisted_composition_T,reversible_capacity_mah_g,219,45,6,Gradient Boosting,122.16117596928586,0.5978557046368038
shuffled,D_surface_assisted_composition_T_time,reversible_capacity_mah_g,219,45,7,Gradient Boosting,122.28124628290851,0.5984913775445511
shuffled,B_composition_T_time,reversible_capacity_mah_g,219,45,6,Gradient Boosting,126.22509916222434,0.5708708921436838
shuffled,A_composition_T,reversible_capacity_mah_g,219,45,5,Gradient Boosting,126.82837376256265,0.561888713580271
grouped,F_surface_assisted_stable_plus_first_capacity_diagnostic,cycling_reversible_capacity_mah_g,123,37,9,Gradient Boosting,123.0644220913261,0.4244222983340603
grouped,E_stable_plus_first_capacity_diagnostic,cycling_reversible_capacity_mah_g,123,37,8,Ridge,123.09200782820258,0.4803841294372495
grouped,D_surface_assisted_stable_composition_T_time_cycle,cycling_reversible_capacity_mah_g,123,37,8,Random Forest,170.3542837719494,-0.029277496710427897
grouped,C_surface_assisted_stable_composition_T_cycle,cycling_reversible_capacity_mah_g,123,37,7,Random Forest,171.58774662494056,-0.04605937347668432
grouped,B_stable_composition_T_time_cycle,cycling_reversible_capacity_mah_g,123,37,7,Extra Trees,172.4940670936977,-0.014048716949323747
grouped,A_stable_composition_T_cycle,cycling_reversible_capacity_mah_g,123,37,6,Extra Trees,172.68504834155004,-0.017942516540970566
shuffled,F_surface_assisted_stable_plus_first_capacity_diagnostic,cycling_reversible_capacity_mah_g,123,37,9,Gradient Boosting,110.44970032134113,0.5500921262545009
shuffled,E_stable_plus_first_capacity_diagnostic,cycling_reversible_capacity_mah_g,123,37,8,Gradient Boosting,110.5874192596356,0.5506958814715319
shuffled,D_surface_assisted_stable_composition_T_time_cycle,cycling_reversible_capacity_mah_g,123,37,8,Gradient Boosting,150.70933424369377,0.20782538685762197
shuffled,B_stable_composition_T_time_cycle,cycling_reversible_capacity_mah_g,123,37,7,Extra Trees,152.78736435332152,0.20624845407263503
shuffled,C_surface_assisted_stable_composition_T_cycle,cycling_reversible_capacity_mah_g,123,37,7,Gradient Boosting,153.02506373728733,0.16388964838295417
shuffled,A_stable_composition_T_cycle,cycling_reversible_capacity_mah_g,123,37,6,Extra Trees,155.09780398591548,0.1800055856676389
grouped,A_material_plus_first_reversible_capacity,coulombic_efficiency_pct,205,45,7,Random Forest,7.538057249008548,0.39957444422745403
grouped,B_composition_T_time,coulombic_efficiency_pct,205,45,6,Random Forest,8.075268240139447,0.32378022838200904
shuffled,A_material_plus_first_reversible_capacity,coulombic_efficiency_pct,205,45,7,Gradient Boosting,6.666423774761124,0.5212396067803864
shuffled,B_composition_T_time,coulombic_efficiency_pct,205,45,6,Gradient Boosting,6.940566464111173,0.47870671899351014
grouped,B_composition_T_time,irreversible_capacity_mah_g,205,45,6,Ridge,128.91212088060118,0.12320433090515936
shuffled,B_composition_T_time,irreversible_capacity_mah_g,205,45,6,Gradient Boosting,107.39604067553677,0.3668759441710714
